2019-11-04 15:29:59 - [Debug] Book Information{Name: , Author: , AuthorIntroduction: , Press: , BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: , DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:30:00 - [Debug] Book Information{Name: 你的奥尔加, Author: [德] 本哈德·施林克, AuthorIntroduction: , Press: 南海出版公司, BriefIntroduction: , Translator: 沈锡良, PageNum: 244, Price: 58.000000, ISBN: 9787544296359, DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:30:01 - [Debug] Book Information{Name: 你当像鸟飞往你的山, Author: [美]塔拉·韦斯特弗, AuthorIntroduction: , Press: 南海出版公司, BriefIntroduction: , Translator: 任爱红, PageNum: 388, Price: 0.000000, ISBN: 9787544276986, DoubanScore: 8.900000, CommentNum: 100}
2019-11-04 15:30:01 - [Debug] Book Information{Name: 末日迁徙, Author: [英]莫欣·哈米德, AuthorIntroduction: , Press: 南海出版公司, BriefIntroduction: , Translator: 匡咏梅, PageNum: 184, Price: 49.000000, ISBN: 9787544280037, DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:30:02 - [Debug] Book Information{Name: 三月十五, Author: [美]桑顿·怀尔德, AuthorIntroduction: , Press: 河南大学出版社, BriefIntroduction: , Translator: 郭浩辰, PageNum: 324, Price: 0.000000, ISBN: 9787564935078, DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:30:03 - [Debug] Book Information{Name: 出走的人, Author: [爱尔兰]科尔姆·托宾, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 张芸, PageNum: 376, Price: 0.000000, ISBN: 9787020148554, DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:30:04 - [Debug] Book Information{Name: 走到世界尽头, Author: [爱尔兰]科尔姆·托宾, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 温峰宁, PageNum: 296, Price: 58.000000, ISBN: 9787020145409, DoubanScore: 7.900000, CommentNum: 47}
2019-11-04 15:30:04 - [Debug] Book Information{Name: 来日方长, Author: [法] 罗曼·加里, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 郭安定, PageNum: 252, Price: 0.000000, ISBN: 9787020128181, DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:30:05 - [Debug] Book Information{Name: 欧洲教育, Author: [法] 罗曼·加里, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 王文融, PageNum: 280, Price: 0.000000, ISBN: 9787020128228, DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:30:05 - [Debug] Book Information{Name: 枉费心机, Author: [英] 哈代, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 刘春芳, PageNum: 420, Price: 0.000000, ISBN: 9787020114696, DoubanScore: 8.600000, CommentNum: 12}
2019-11-04 15:30:06 - [Debug] Book Information{Name: 三个世界的西班牙人, Author: [西]胡安·拉蒙·希梅内斯, AuthorIntroduction: , Press: 漓江出版社, BriefIntroduction: , Translator: 赵德明, PageNum: 440, Price: 0.000000, ISBN: 9787540785239, DoubanScore: 8.400000, CommentNum: 11}
2019-11-04 15:30:07 - [Debug] Book Information{Name: 我们街区的孩子们, Author: [埃及] 纳吉布·马哈福兹, AuthorIntroduction: , Press: 华文出版社, BriefIntroduction: , Translator: 李琛, PageNum: 408, Price: 0.000000, ISBN: 9787507547122, DoubanScore: 8.100000, CommentNum: 17}
2019-11-04 15:30:08 - [Debug] Book Information{Name: 十字架上的魔鬼, Author: [肯尼亚] 恩古吉.瓦.提安哥, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 蔡临祥, PageNum: 328, Price: 42.000000, ISBN: 9787020121205, DoubanScore: 7.900000, CommentNum: 17}
2019-11-04 15:30:09 - [Debug] Book Information{Name: 新人生, Author: [土] 奥尔罕·帕慕克, AuthorIntroduction: , Press: 上海人民出版社, BriefIntroduction: , Translator: 蔡鹃如, PageNum: 304, Price: 52.000000, ISBN: 9787208152854, DoubanScore: 7.800000, CommentNum: 28}
2019-11-04 15:30:10 - [Debug] Book Information{Name: 流浪的星星, Author: [法]勒克莱齐奥, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 袁筱一, PageNum: 320, Price: 0.000000, ISBN: 9787020135950, DoubanScore: 8.200000, CommentNum: 33}
2019-11-04 15:30:11 - [Debug] Book Information{Name: 燃烧的心, Author: [法]勒克莱齐奥, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 许方, PageNum: 160, Price: 0.000000, ISBN: 9787020135912, DoubanScore: 7.800000, CommentNum: 37}
2019-11-04 15:30:13 - [Debug] Book Information{Name: 飙车, Author: [法]勒克莱齐奥, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 金龙格, PageNum: 232, Price: 0.000000, ISBN: 9787020135936, DoubanScore: 8.700000, CommentNum: 20}
2019-11-04 15:30:14 - [Debug] Book Information{Name: 蒲宁文集·诗歌 散文 游记卷, Author: 戴骢（主编）, AuthorIntroduction: , Press: 安徽文艺出版社, BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: 9787539658094, DoubanScore: 9.000000, CommentNum: 14}
2019-11-04 15:30:14 - [Debug] Book Information{Name: 蒲宁文集·短篇小说卷（下）, Author: 戴骢（主编）, AuthorIntroduction: , Press: 安徽文艺出版社, BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: 9787539658117, DoubanScore: 8.900000, CommentNum: 15}
2019-11-04 15:30:15 - [Debug] Book Information{Name: 蒲宁文集·短篇小说卷（上）, Author: 戴骢（主编）, AuthorIntroduction: , Press: 安徽文艺出版社, BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: 9787539658100, DoubanScore: 9.300000, CommentNum: 21}
2019-11-04 15:30:16 - [Debug] Book Information{Name: 时代的喧嚣, Author: (俄)曼德尔施塔坶, AuthorIntroduction: , Press: 敦煌文艺出版社, BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: 9787546806297, DoubanScore: 9.100000, CommentNum: 17}
2019-11-04 15:30:17 - [Debug] Book Information{Name: 专使, Author: [美] 亨利·詹姆斯, AuthorIntroduction: , Press: 漓江出版社, BriefIntroduction: , Translator: 王理行, PageNum: 536, Price: 56.000000, ISBN: 9787540784447, DoubanScore: 8.400000, CommentNum: 20}
2019-11-04 15:30:18 - [Debug] Book Information{Name: 金钵记, Author: [美] 亨利·詹姆斯, AuthorIntroduction: , Press: 上海文艺出版社, BriefIntroduction: , Translator: Henry James, PageNum: 560, Price: 0.000000, ISBN: 9787532163328, DoubanScore: 7.600000, CommentNum: 46}
2019-11-04 15:30:19 - [Debug] Book Information{Name: 原来如此的故事, Author: 南方, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: , PageNum: 208, Price: 0.000000, ISBN: 9787020112142, DoubanScore: 8.700000, CommentNum: 18}
2019-11-04 15:30:19 - [Debug] Book Information{Name: 黎明前说我爱你, Author: [匈]彼得·加尔多什, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 李晨, PageNum: 236, Price: 0.000000, ISBN: 9787020148561, DoubanScore: 8.800000, CommentNum: 12}
2019-11-04 15:30:20 - [Debug] Book Information{Name: 花斑猫与燕子西尼娅, Author: [巴西]若热·亚马多 著, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: [巴西]卡里贝 绘, PageNum: 132, Price: 39.000000, ISBN: 9787020135110, DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:30:22 - [Debug] Book Information{Name: 星辰时刻, Author: 闵雪飞, AuthorIntroduction: , Press: 99读书人/上海文艺出版社, BriefIntroduction: , Translator: , PageNum: 94, Price: 18.000000, ISBN: 9787532150366, DoubanScore: 8.600000, CommentNum: 1131}
2019-11-04 15:30:23 - [Debug] Book Information{Name: 隐秘的幸福, Author: 闵雪飞, AuthorIntroduction: , Press: 上海文艺出版社, BriefIntroduction: , Translator: , PageNum: 163, Price: 25.000000, ISBN: 9787532160051, DoubanScore: 8.200000, CommentNum: 508}
