2019-11-05 09:45:09 - [Debug] Book Information{Name: 热带, Author: 李唐, AuthorIntroduction: , Press: 北京出版集团·北京十月文艺出版社, BriefIntroduction: , Translator: , PageNum: 264, Price: 0.000000, ISBN: 9787530219843, DoubanScore: 9.100000, CommentNum: 40}
2019-11-05 09:45:11 - [Debug] Book Information{Name: 巨浪下的小学, Author: [英]理查德·劳埃德·帕里, AuthorIntroduction: , Press: 文汇出版社, BriefIntroduction: , Translator: 尹楠, PageNum: 304, Price: 0.000000, ISBN: 9787549629497, DoubanScore: 9.000000, CommentNum: 139}
2019-11-05 09:45:12 - [Debug] Book Information{Name: 白城恶魔, Author: [美] 埃里克·拉森, AuthorIntroduction: , Press: 南海出版公司, BriefIntroduction: , Translator: 徐佳雨, PageNum: 448, Price: 0.000000, ISBN: 9787544296267, DoubanScore: 8.500000, CommentNum: 112}
2019-11-05 09:45:13 - [Debug] Book Information{Name: 绚烂的流离, Author: [日] 松本清张, AuthorIntroduction: , Press: 上海文艺出版社, BriefIntroduction: , Translator: 赵晖, PageNum: 376, Price: 0.000000, ISBN: 9787532169139, DoubanScore: 8.000000, CommentNum: 127}
2019-11-05 09:45:15 - [Debug] Book Information{Name: 柔嫩的脸颊, Author: [日]桐野夏生, AuthorIntroduction: , Press: 上海文艺出版社, BriefIntroduction: , Translator: 史诗, PageNum: 438, Price: 58.000000, ISBN: 9787532170388, DoubanScore: 8.400000, CommentNum: 126}
2019-11-05 09:45:16 - [Debug] Book Information{Name: OUT, Author: [日] 桐野夏生, AuthorIntroduction: , Press: 上海文艺出版社, BriefIntroduction: , Translator: 林敏生, PageNum: 402, Price: 0.000000, ISBN: 9787532166664, DoubanScore: 7.700000, CommentNum: 325}
2019-11-05 09:45:18 - [Debug] Book Information{Name: 又怎样, Author: [日] 桐野夏生, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 王皎娇, PageNum: 392, Price: 55.000000, ISBN: 9787020126743, DoubanScore: 6.900000, CommentNum: 48}
2019-11-05 09:45:19 - [Debug] Book Information{Name: 杀心, Author: 赵建勋, AuthorIntroduction: , Press: 广西师范大学出版社, BriefIntroduction: , Translator: , PageNum: 278, Price: 0.000000, ISBN: 9787563399178, DoubanScore: 7.100000, CommentNum: 981}
2019-11-05 09:45:21 - [Debug] Book Information{Name: 残虐记, Author: 王倩, AuthorIntroduction: , Press: 广西师范大学出版社, BriefIntroduction: , Translator: , PageNum: 248, Price: 0.000000, ISBN: 9787563399185, DoubanScore: 7.600000, CommentNum: 1630}
2019-11-05 09:45:23 - [Debug] Book Information{Name: 异常, Author: 刘子倩, AuthorIntroduction: , Press: 广西师范大学出版社, BriefIntroduction: , Translator: , PageNum: 448, Price: 35.000000, ISBN: 9787563399161, DoubanScore: 8.200000, CommentNum: 2147}
2019-11-05 09:45:24 - [Debug] Book Information{Name: OUT主婦殺人事件, Author: 林敏生, AuthorIntroduction: , Press: 台灣東販股份有限公司, BriefIntroduction: , Translator: , PageNum: 474, Price: 0.000000, ISBN: 9789574731046, DoubanScore: 8.000000, CommentNum: 430}
2019-11-05 09:45:25 - [Debug] Book Information{Name: 柔嫩的臉頰, Author: 桐野夏生, AuthorIntroduction: , Press: 皇冠, BriefIntroduction: , Translator: 林玉佩, PageNum: 483, Price: 0.000000, ISBN: 9789573317944, DoubanScore: 8.500000, CommentNum: 56}
2019-11-05 09:45:26 - [Debug] Book Information{Name: 残虐记, Author: 王倩, AuthorIntroduction: , Press: 新苗, BriefIntroduction: , Translator: , PageNum: 272, Price: 0.000000, ISBN: 9789574512546, DoubanScore: 7.700000, CommentNum: 115}
2019-11-05 09:45:27 - [Debug] Book Information{Name: 異常, Author: 桐野夏生, AuthorIntroduction: , Press: 商周出版公司, BriefIntroduction: , Translator: 劉子倩, PageNum: 592, Price: 0.000000, ISBN: 9789861244570, DoubanScore: 8.300000, CommentNum: 38}
2019-11-05 09:45:28 - [Debug] Book Information{Name: 最惡, Author: 奧田英朗, AuthorIntroduction: , Press: 尖端, BriefIntroduction: , Translator: 程健蓉, PageNum: 480, Price: 0.000000, ISBN: 9789571036120, DoubanScore: 8.300000, CommentNum: 39}
2019-11-05 09:45:29 - [Debug] Book Information{Name: 邪魔, Author: 奧田英朗, AuthorIntroduction: , Press: 尖端, BriefIntroduction: , Translator: 洪韻婷, PageNum: 564, Price: 0.000000, ISBN: 9789571037356, DoubanScore: 7.600000, CommentNum: 26}
2019-11-05 09:45:30 - [Debug] Book Information{Name: 六宅一生, Author: 奧田英朗, AuthorIntroduction: , Press: 尖端出版, BriefIntroduction: , Translator: 張智淵, PageNum: 364, Price: 0.000000, ISBN: 9789571035277, DoubanScore: 8.500000, CommentNum: 130}
2019-11-05 09:45:31 - [Debug] Book Information{Name: 家日和, Author: 奧田英朗, AuthorIntroduction: , Press: 皇冠文化, BriefIntroduction: , Translator: 劉姿君, PageNum: 0, Price: 0.000000, ISBN: 9789573326410, DoubanScore: 8.200000, CommentNum: 45}
2019-11-05 09:45:32 - [Debug] Book Information{Name: 一郎二郎（上）東京大夜逃, Author: 奧田英朗, AuthorIntroduction: , Press: 麥田, BriefIntroduction: , Translator: 章蓓蕾, PageNum: 296, Price: 0.000000, ISBN: 9789861732244, DoubanScore: 8.300000, CommentNum: 35}
2019-11-05 09:45:32 - [Debug] Book Information{Name: 重生, Author: 桐野夏生, AuthorIntroduction: , Press: 麥田出版, BriefIntroduction: , Translator: Kirino Natsuo, PageNum: 0, Price: 0.000000, ISBN: 9789861735634, DoubanScore: 8.000000, CommentNum: 29}
2019-11-05 09:45:33 - [Debug] Book Information{Name: 玉蘭, Author: 桐野夏生, AuthorIntroduction: , Press: 麥田, BriefIntroduction: , Translator: 劉子倩, PageNum: 336, Price: 0.000000, ISBN: 9789861733296, DoubanScore: 6.900000, CommentNum: 21}
2019-11-05 09:45:34 - [Debug] Book Information{Name: 窮追不捨, Author: 杜信彰, AuthorIntroduction: , Press: 獨步文化, BriefIntroduction: , Translator: , PageNum: 304, Price: 0.000000, ISBN: 9789866562730, DoubanScore: 7.800000, CommentNum: 36}
2019-11-05 09:45:36 - [Debug] Book Information{Name: 第三時效, Author: 橫山秀夫, AuthorIntroduction: , Press: 獨步文化, BriefIntroduction: , Translator: 張智淵, PageNum: 0, Price: 0.000000, ISBN: 9789866562228, DoubanScore: 8.800000, CommentNum: 69}
2019-11-05 09:45:37 - [Debug] Book Information{Name: 臨場, Author: 劉子倩, AuthorIntroduction: , Press: 商周出版, BriefIntroduction: , Translator: , PageNum: 328, Price: 0.000000, ISBN: 9789861246284, DoubanScore: 8.600000, CommentNum: 75}
2019-11-05 09:45:38 - [Debug] Book Information{Name: 登山者, Author: 橫山秀夫, AuthorIntroduction: , Press: 獨步文化, BriefIntroduction: , Translator: 張智淵, PageNum: 0, Price: 0.000000, ISBN: 9789866954306, DoubanScore: 8.300000, CommentNum: 62}
2019-11-05 09:45:39 - [Debug] Book Information{Name: 震度0, Author: 橫山秀夫, AuthorIntroduction: , Press: 皇冠文化, BriefIntroduction: , Translator: 緋華璃, PageNum: 0, Price: 0.000000, ISBN: 9789573325109, DoubanScore: 8.300000, CommentNum: 88}
2019-11-05 09:45:40 - [Debug] Book Information{Name: 看守者之眼, Author: 橫山秀夫, AuthorIntroduction: , Press: 皇冠文化, BriefIntroduction: , Translator: 郭清華, PageNum: 304, Price: 0.000000, ISBN: 9789573324072, DoubanScore: 7.900000, CommentNum: 66}
2019-11-05 09:45:41 - [Debug] Book Information{Name: 動機, Author: 張筱森, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: , PageNum: 320, Price: 280.000000, ISBN: 9789867335937, DoubanScore: 7.800000, CommentNum: 50}
2019-11-05 09:45:42 - [Debug] Book Information{Name: 卡迪斯紅星, Author: 逢坂剛, AuthorIntroduction: , Press: 皇冠, BriefIntroduction: , Translator: 洪碧娟, PageNum: 656, Price: 0.000000, ISBN: 9789573328124, DoubanScore: 7.600000, CommentNum: 24}
2019-11-05 09:45:43 - [Debug] Book Information{Name: 埃及十字架的秘密, Author: 艾勒里·昆恩, AuthorIntroduction: , Press: 星光出版社, BriefIntroduction: , Translator: Ellery Queen, PageNum: 385, Price: 0.000000, ISBN: 9789576771897, DoubanScore: 7.900000, CommentNum: 58}
2019-11-05 09:45:44 - [Debug] Book Information{Name: 惡之源, Author: 艾勒里.昆恩, AuthorIntroduction: , Press: 臉譜文化, BriefIntroduction: , Translator: 易萃雯, PageNum: 314, Price: 0.000000, ISBN: 9789867335982, DoubanScore: 8.300000, CommentNum: 42}
2019-11-05 09:45:45 - [Debug] Book Information{Name: 多尾猫, Author: 艾勒里•昆恩, AuthorIntroduction: , Press: 脸谱出版社, BriefIntroduction: , Translator: 許瓊瑩, PageNum: 0, Price: 0.000000, ISBN: 9789867335975, DoubanScore: 7.800000, CommentNum: 65}
2019-11-05 09:45:45 - [Debug] Book Information{Name: 龙牙, Author: 艾勒里．昆恩, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: 9789867335289, DoubanScore: 7.400000, CommentNum: 76}
2019-11-05 09:45:47 - [Debug] Book Information{Name: 西班牙岬角的秘密, Author: 艾勒里．昆恩, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: 9789867335173, DoubanScore: 7.600000, CommentNum: 86}
2019-11-05 09:45:48 - [Debug] Book Information{Name: 美國槍的秘密, Author: 艾勒里．昆恩, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: 溫怡惠, PageNum: 0, Price: 0.000000, ISBN: 9789867335074, DoubanScore: 8.100000, CommentNum: 121}
2019-11-05 09:45:49 - [Debug] Book Information{Name: 法蘭西白粉的秘密, Author: 艾勒里．昆恩, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: 顧效齡, PageNum: 0, Price: 0.000000, ISBN: 9789867335005, DoubanScore: 8.400000, CommentNum: 140}
2019-11-05 09:45:49 - [Debug] Book Information{Name: 暹邏連體人的秘密, Author: 艾勒里．昆恩, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: 許瓊瑩, PageNum: 0, Price: 0.000000, ISBN: 9789867335135, DoubanScore: 8.100000, CommentNum: 111}
2019-11-05 09:45:50 - [Debug] Book Information{Name: 阿拉伯之夜謀殺案, Author: 約翰．狄克森．卡爾, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: 狄芬奇, PageNum: 448, Price: 0.000000, ISBN: 9789867896506, DoubanScore: 8.100000, CommentNum: 80}
2019-11-05 09:45:51 - [Debug] Book Information{Name: 耳語之人, Author: 約翰．狄克森．卡爾, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: John Dickson Carr, PageNum: 336, Price: 0.000000, ISBN: 9789867335906, DoubanScore: 8.500000, CommentNum: 125}
2019-11-05 09:45:52 - [Debug] Book Information{Name: 綠膠囊之謎, Author: 約翰‧狄克森‧卡爾, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: 刁筱華, PageNum: 0, Price: 0.000000, ISBN: 9789867896704, DoubanScore: 8.400000, CommentNum: 149}
2019-11-05 09:45:53 - [Debug] Book Information{Name: 連續自殺事件, Author: 約翰．狄克森．卡爾, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: 王瑞徽, PageNum: 0, Price: 0.000000, ISBN: 9789867896872, DoubanScore: 7.800000, CommentNum: 91}
2019-11-05 09:45:54 - [Debug] Book Information{Name: 特倫頓小屋, Author: 艾勒里．昆恩, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: 敖威, PageNum: 352, Price: 0.000000, ISBN: 9789867896728, DoubanScore: 8.400000, CommentNum: 95}
2019-11-05 09:45:55 - [Debug] Book Information{Name: 希臘棺材的秘密, Author: 艾勒里．昆恩, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: 林淑琴, PageNum: 0, Price: 0.000000, ISBN: 9789867335081, DoubanScore: 8.700000, CommentNum: 194}
2019-11-05 09:45:56 - [Debug] Book Information{Name: 荷兰鞋子的秘密, Author: 艾勒里．昆恩，譯／劉秀瑾, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: 9789867335012, DoubanScore: 8.200000, CommentNum: 181}
2019-11-05 09:45:57 - [Debug] Book Information{Name: 中國橘子的秘密, Author: 艾勒里．昆恩，譯／吳曉芬, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: 9789867335142, DoubanScore: 7.900000, CommentNum: 132}
2019-11-05 09:45:58 - [Debug] Book Information{Name: 雷恩的最後探案, Author: 艾勒里．昆恩，譯／林淑琴, AuthorIntroduction: , Press: 臉譜, BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: 9789577083074, DoubanScore: 8.100000, CommentNum: 119}
2019-11-05 09:45:59 - [Error] There is something wrong:  Not Found
2019-11-05 09:45:59 - [Error] There is something wrong:  Not Found
2019-11-05 09:45:59 - [Error] There is something wrong:  Not Found
